YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,WS10M,WD10M,Updated_T_C,Power_Output_kW
2022,1,3,19,0.0,0.0,23.6,1.61,7.1,23.6,0.0
2022,1,3,20,0.0,0.0,22.83,1.83,7.9,22.83,0.0
2022,1,3,21,0.0,0.0,22.39,1.84,10.6,22.39,0.0
2022,1,3,22,0.0,0.0,21.99,1.79,20.6,21.99,0.0
2022,1,3,23,0.0,0.0,21.28,1.82,22.9,21.28,0.0
2022,1,4,0,0.0,0.0,20.73,1.77,31.4,20.73,0.0
2022,1,4,1,0.0,0.0,20.16,1.78,43.6,20.16,0.0
2022,1,4,2,0.0,0.0,19.29,2.0,57.0,19.29,0.0
2022,1,4,3,0.0,0.0,18.36,2.24,71.0,18.36,0.0
2022,1,4,4,0.0,0.0,17.75,2.38,88.1,17.75,0.0
2022,1,4,5,0.0,0.0,17.37,2.45,106.1,17.37,0.0
2022,1,4,6,0.0,0.0,16.94,2.36,117.8,16.94,0.0
2022,1,4,7,34.7,15.55,17.79,2.28,125.2,18.6080525,16936.34658638538
2022,1,4,8,172.3,74.42,20.07,2.53,131.3,24.105050625,81943.16726182241
2022,1,4,9,333.88,145.91,23.25,1.94,134.4,31.1921705,153409.49589421912
2022,1,4,10,427.88,190.82,26.54,1.42,142.7,36.8572565,191090.3444034805
2022,1,4,11,447.85,202.83,27.96,1.2,166.0,38.8203625,198010.50155942058
2022,1,4,12,472.35,214.12,29.03,1.32,183.5,40.44906125,207094.14204832935
2022,1,4,13,537.75,238.37,29.68,1.64,186.6,42.57255625,233172.0979677416
2022,1,4,14,412.15,181.73,29.8,1.7,186.7,39.665840625,181434.18263545283
2022,1,4,15,282.05,123.93,29.44,1.52,208.8,36.2233025,126369.39557410707
2022,1,4,16,119.8,51.72,28.3,1.31,265.2,31.19691375,55043.80722693006
2022,1,4,17,11.68,5.05,25.5,1.65,310.6,25.779955,5510.356891093824
2022,1,4,18,0.0,0.0,24.45,1.76,333.7,24.45,0.0
2022,1,4,19,0.0,0.0,23.89,1.7,351.2,23.89,0.0
2022,1,4,20,0.0,0.0,23.5,1.57,5.5,23.5,0.0
2022,1,4,21,0.0,0.0,22.93,1.57,353.8,22.93,0.0
2022,1,4,22,0.0,0.0,21.71,2.02,340.0,21.71,0.0
2022,1,4,23,0.0,0.0,20.72,2.35,338.0,20.72,0.0
2022,1,5,0,0.0,0.0,20.18,2.58,335.7,20.18,0.0
2022,1,5,1,0.0,0.0,20.26,2.64,340.1,20.26,0.0
2022,1,5,2,0.0,0.0,20.1,2.96,348.1,20.1,0.0
2022,1,5,3,0.0,0.0,19.54,3.41,359.7,19.54,0.0
2022,1,5,4,0.0,0.0,18.85,3.35,15.8,18.85,0.0
2022,1,5,5,0.0,0.0,18.23,2.83,35.4,18.23,0.0
2022,1,5,6,0.0,0.0,17.7,2.24,55.7,17.7,0.0
2022,1,5,7,27.17,12.52,18.29,2.33,73.5,18.9296836875,13241.24711056052
2022,1,5,8,104.45,48.52,19.67,2.51,82.0,22.1173940625,50146.68299978828
2022,1,5,9,202.8,94.67,21.72,1.89,74.1,26.5504425,95321.22862606344
2022,1,5,10,291.1,136.65,24.35,0.96,42.0,31.452840000000002,133580.67728447902
2022,1,5,11,325.42,151.48,26.35,1.38,293.0,34.20482525,147293.8991713513
2022,1,5,12,220.12,107.45,27.68,3.0,284.9,32.770275,100350.03444757368
2022,1,5,13,195.2,95.87,28.1,3.89,291.0,32.50542,89106.82460004864
2022,1,5,14,201.07,96.04,27.73,3.82,295.6,32.276695375,91890.95653393095
2022,1,5,15,147.27,68.95,27.09,3.5,295.9,30.449596875,67915.45267197596
2022,1,5,16,54.35,25.98,25.89,2.82,300.8,27.152958125,25471.466647453944
2022,1,5,17,10.35,4.45,23.11,2.4,315.5,23.353225,4939.984469366101
2022,1,5,18,0.0,0.0,21.93,2.8,326.2,21.93,0.0
2022,1,5,19,0.0,0.0,21.34,2.99,336.3,21.34,0.0
2022,1,5,20,0.0,0.0,20.62,3.05,344.4,20.62,0.0
2022,1,5,21,0.0,0.0,19.87,3.21,353.0,19.87,0.0
2022,1,5,22,0.0,0.0,19.15,3.36,2.6,19.15,0.0
2022,1,5,23,0.0,0.0,18.25,3.13,11.2,18.25,0.0
2022,1,6,0,0.0,0.0,17.57,2.91,21.2,17.57,0.0
2022,1,6,1,0.0,0.0,17.03,2.73,30.9,17.03,0.0
2022,1,6,2,0.0,0.0,16.54,2.48,36.3,16.54,0.0
2022,1,6,3,0.0,0.0,16.28,2.19,36.1,16.28,0.0
2022,1,6,4,0.0,0.0,15.79,2.04,30.7,15.79,0.0
2022,1,6,5,0.0,0.0,15.55,1.92,23.0,15.55,0.0
2022,1,6,6,0.0,0.0,15.54,1.74,14.0,15.54,0.0
2022,1,6,7,22.45,10.48,16.39,2.03,8.5,16.9227665625,11043.376686852798
2022,1,6,8,60.9,31.47,17.93,2.11,7.1,19.372188125,29618.242507614916
2022,1,6,9,110.45,57.33,20.31,2.01,335.0,22.932497187499997,52822.659107688574
2022,1,6,10,157.93,82.28,21.76,2.05,306.5,25.505902187500002,74606.14212200615
2022,1,6,11,277.62,139.48,22.85,1.51,287.7,29.528496125000004,128609.28262478848
2022,1,6,12,387.92,187.65,23.97,1.36,260.3,33.338268,176347.18417978426
2022,1,6,13,338.55,162.93,24.71,1.77,249.1,32.799229062500004,154318.55176786444
2022,1,6,14,395.33,184.88,24.84,1.92,248.0,34.248854,178897.49294203502
2022,1,6,15,306.65,140.77,24.22,1.95,252.4,31.512520312499998,140674.7003411745
2022,1,6,16,153.52,69.42,23.38,1.77,264.8,27.0481685,71984.67305829012
2022,1,6,17,16.27,7.38,21.61,1.24,288.3,22.004140749999998,7815.452447689517
2022,1,6,18,0.0,0.0,20.71,1.34,311.1,20.71,0.0
2022,1,6,19,0.0,0.0,20.32,1.26,331.6,20.32,0.0
2022,1,6,20,0.0,0.0,20.02,1.14,358.0,20.02,0.0
2022,1,6,21,0.0,0.0,19.64,0.96,16.9,19.64,0.0
2022,1,6,22,0.0,0.0,19.19,0.97,51.7,19.19,0.0
2022,1,6,23,0.0,0.0,18.42,1.14,80.4,18.42,0.0
2022,1,7,0,0.0,0.0,17.82,1.27,106.9,17.82,0.0
2022,1,7,1,0.0,0.0,17.22,1.39,123.6,17.22,0.0
2022,1,7,2,0.0,0.0,16.49,1.68,131.4,16.49,0.0
2022,1,7,3,0.0,0.0,15.81,2.07,136.6,15.81,0.0
2022,1,7,4,0.0,0.0,15.42,2.4,142.3,15.42,0.0
2022,1,7,5,0.0,0.0,15.25,2.66,147.4,15.25,0.0
2022,1,7,6,0.0,0.0,15.12,2.97,151.0,15.12,0.0
2022,1,7,7,45.22,20.08,16.41,4.06,154.8,17.42575425,22192.4640041642
2022,1,7,8,204.88,91.73,19.02,4.93,163.4,23.5107135,97714.48537118749
2022,1,7,9,383.88,174.78,22.01,5.49,180.5,30.289811750000002,177170.61865355956
2022,1,7,10,530.72,243.96,23.96,5.61,196.4,35.367163000000005,238816.05183882086
2022,1,7,11,636.88,292.97,25.42,5.8,209.7,39.03331,281279.15064194665
